Token_Original,Skill_Standard_Internasional
AWS CloudFront,AWS CloudFront
AWS CloudWatch,AWS CloudWatch
AWS CodeCommit,AWS CodeCommit
AWS CodePipeline,AWS CodePipeline
AWS Cognito,AWS Cognito
AWS Compute,AWS Compute
AWS Configuration items,Aws Configuration Items
AWS Container Services,Aws Container Services
AWS Core Services (S3,Aws Core Services (S3
AWS Cost Explorer,Aws Cost Explorer
AWS DEVOPS ENGINEER,AWS DevOps Engineer
AWS DMS,AWS DMS
AWS Data Analytics stack,Aws Data Analytics Stack
AWS Data Engineer,Aws Data Engineer
AWS Data Engineer (5 Months) - Sydney,AWS Data Engineer (5 Months) - Sydney
AWS Data Engineer (Healthcare),AWS Data Engineer (Healthcare)
AWS Data Engineer (Hybrid),AWS Data Engineer (Hybrid)
AWS Data Engineer with Splunk,AWS Data Engineer with Splunk
AWS Data Lake,Aws Data Lake
AWS Data Lake Formation,Aws Data Lake Formation
AWS Data Management,Aws Data Management
AWS Data Pipeline,Aws Data Pipeline
AWS Data Services,Aws Data Services
AWS Data Services (Redshift Athena EMR),Aws Data Services (Redshift Athena Emr)
AWS Data Services (S3 Glue Athena),Aws Data Services (S3 Glue Athena)
AWS Data Stack,Aws Data Stack
AWS Data warehouses (Redshift etc.),Aws Data Warehouses (Redshift Etc.)
AWS Database,AWS Database
AWS Database Engineer,AWS Database Engineer
AWS Database Migration Service (DMS),Aws Database Migration Service (Dms)
AWS Database Services,Aws Database Services
AWS Databricks,AWS Databricks
AWS DevOps Specialist,AWS DevOps Specialist
AWS Developer (data Engineer) and Date Governance Manager,AWS Developer (data Engineer) and Date Governance Manager
AWS Developer Associate,Aws Developer Associate
AWS Developer Certification,Aws Developer Certification
AWS DynamoDB,AWS DynamoDB
AWS EC2,AWS EC2
AWS ECR,AWS ECR
AWS ECS,AWS ECS
AWS EKS,AWS EKS
AWS EMR,AWS EMR
AWS ETL Glue,Aws Etl Glue
AWS ETL tools,Aws Etl Tools
AWS Ecosystem,AWS Ecosystem
AWS Elastic Container Service,Aws Elastic Container Service
AWS Engineer - Python,AWS Engineer - Python
AWS Environment,AWS Environment
AWS Experience,AWS Experience
AWS Expertise,AWS Expertise
AWS Functions,AWS Functions
AWS Glue Catalog,Aws Glue Catalog
AWS Glue metastore,Aws Glue Metastore
AWS Guard Duty,Aws Guard Duty
AWS IAM,AWS IAM
AWS IOT and Edge,Aws Iot And Edge
